,,1/19,2/19,3/19,4/19,5/19,6/19,7/19,8/19,9/19,10/19,11/19,12/19,1/20,2/20,3/20,4/20,5/20,6/20,7/20,8/20,9/20,10/20,11/20,12/20,1/21,2/21,3/21
Port Name,Measure,January,February,March,April,May,June,July,August,September,October,November,December,January,February,March,April,May,June,July,August,September,October,November,December,January,February,March
Rio Grande City,Truck Containers Loaded,"2,741","2,655","2,951","3,307","3,368","3,134","3,110","2,870","2,507","3,070","2,646","2,507","3,056","2,797","3,333","2,528","2,561","3,003","2,903","2,660","2,951","3,196","2,929","2,382","2,523","2,549","3,318"
Rio Grande City,Trucks,"3,174","3,071","3,468","3,802","4,003","3,571","3,673","3,488","3,070","3,715","3,157","2,916","3,545","3,268","3,774","2,929","3,044","3,559","3,539","3,187","3,498","3,847","3,489","2,903","2,977","3,071","4,032"
Roma,Pedestrians,"17,760","18,005","20,242","39,852","31,441","22,414","26,295","23,641","24,372","25,461","25,241","33,011","24,655","23,173","18,347","5,564","8,596","8,660","8,600","8,522","12,941","12,584",,"11,664","72,821","60,158",
Roma,Personal Vehicle Passengers,"130,070","114,028","123,932","89,736","106,151","209,280","113,537","107,761","114,519","110,844","117,581","138,036","118,076","106,966","87,930","34,895","59,733","57,509","50,235","54,638","47,332","60,383","70,233","71,015","73,130","60,547","77,097"
Roma,Personal Vehicles,"65,171","60,385","64,473","45,096","56,475","109,906","56,495","55,671","60,818","60,958","62,015","69,208","63,397","59,453","49,931","23,164","36,576","36,978","32,510","34,409","29,439","37,359","41,812","42,721","43,006","37,016","45,937"
Roma,Truck Containers Empty,652,666,740,693,793,693,766,744,676,801,744,725,806,753,795,607,774,918,914,912,899,860,783,835,835,771,993
Roma,Truck Containers Loaded,189,207,244,200,220,217,355,345,300,346,471,651,652,807,"1,032",758,797,919,"1,092","1,089","1,267","1,526","1,556","1,502","1,656","1,283","1,625"
Roma,Trucks,841,871,981,893,"1,013",907,"1,120","1,088",974,"1,145","1,210","1,369","1,499","1,562","1,850","1,347","1,576","1,891","2,059","2,045","2,212","2,380","2,373","2,352","2,497","2,060","2,661"
Tornillo,Pedestrians,"3,286","3,427","3,285","4,700","3,787","1,897","1,895","3,366","3,922","4,289","3,370","3,361","3,098","3,304","2,077",537,499,624,554,"1,145","1,462",938,763,"1,152",876,"2,338","4,825"
Tornillo,Personal Vehicle Passengers,"62,957","61,031","74,438","76,103","78,206","70,779","87,927","72,650","67,507","70,976","68,993","79,391","63,627","60,097","50,339","22,536","38,308","45,866","47,205","52,217","53,649","44,681","41,248","49,934","50,615","40,058","47,542"
Tornillo,Personal Vehicles,"32,752","32,295","38,089","39,871","40,640","36,068","43,423","37,669","35,482","37,559","36,247","39,939","34,183","32,824","29,055","15,255","23,711","27,197","27,787","30,455","31,918","26,969","26,427","30,118","29,205","23,822","27,619"
TOTAL,,11128191,"9,728,312","11,141,322","9,488,348","10,174,819","10,510,153",10414417,10381298,"10,151,687","10,471,431","10,344,322","11,322,521","10,337,307","9,520,961","7,257,286","3,119,470","4,518,678",4962147,4886652,5078083,4773809,"5,361,183",5216849,"5,514,167","5,775,879",4893618,6279039
